RentalID,Date,Year,Month,IsSeason,IsWeekend,VehicleType,RentalDays,DailyPriceLKR,TotalPriceLKR,CustomerType,Notes
1,2023-01-01,2023,1,1,1,Bike,4,1650.0,6600.0,,
2,2023-01-01,2023,1,1,1,Car,1,6050.0,6050.0,,
3,2023-01-01,2023,1,1,1,Car,1,6050.0,6050.0,,
4,2023-01-01,2023,1,1,1,Tuk Tuk,4,3300.0,13200.0,,
5,2023-01-01,2023,1,1,1,Bike,2,1650.0,3300.0,,
6,2023-01-01,2023,1,1,1,Bike,1,1650.0,1650.0,,
7,2023-01-01,2023,1,1,1,Bike,1,1650.0,1650.0,,
8,2023-01-02,2023,1,1,0,Bike,4,1650.0,6600.0,,
9,2023-01-02,2023,1,1,0,Bike,3,1650.0,4950.0,,
10,2023-01-02,2023,1,1,0,Bike,2,1650.0,3300.0,,
11,2023-01-02,2023,1,1,0,Bike,4,1650.0,6600.0,,
12,2023-01-02,2023,1,1,0,Car,1,6050.0,6050.0,,
13,2023-01-02,2023,1,1,0,Car,2,6050.0,12100.0,,
14,2023-01-02,2023,1,1,0,Tuk Tuk,4,3300.0,13200.0,,
15,2023-01-03,2023,1,1,0,Car,3,6050.0,18150.0,,
16,2023-01-03,2023,1,1,0,Car,4,6050.0,24200.0,,
17,2023-01-03,2023,1,1,0,Car,3,6050.0,18150.0,,
18,2023-01-03,2023,1,1,0,Bike,3,1650.0,4950.0,,
19,2023-01-03,2023,1,1,0,Car,2,6050.0,12100.0,,
20,2023-01-04,2023,1,1,0,Car,3,6050.0,18150.0,,
21,2023-01-04,2023,1,1,0,Tuk Tuk,3,3300.0,9900.0,,
22,2023-01-04,2023,1,1,0,Bike,2,1650.0,3300.0,,
23,2023-01-04,2023,1,1,0,Car,3,6050.0,18150.0,,
24,2023-01-04,2023,1,1,0,Car,2,6050.0,12100.0,,
25,2023-01-04,2023,1,1,0,Car,1,6050.0,6050.0,,
26,2023-01-04,2023,1,1,0,Tuk Tuk,4,3300.0,13200.0,,
27,2023-01-04,2023,1,1,0,Car,4,6050.0,24200.0,,
28,2023-01-04,2023,1,1,0,Bike,2,1650.0,3300.0,,
29,2023-01-05,2023,1,1,0,Tuk Tuk,2,3300.0,6600.0,,
30,2023-01-05,2023,1,1,0,Car,2,6050.0,12100.0,,
31,2023-01-05,2023,1,1,0,Car,3,6050.0,18150.0,,
32,2023-01-05,2023,1,1,0,Tuk Tuk,3,3300.0,9900.0,,
33,2023-01-05,2023,1,1,0,Tuk Tuk,2,3300.0,6600.0,,
34,2023-01-06,2023,1,1,0,Bike,4,1650.0,6600.0,,
35,2023-01-06,2023,1,1,0,Tuk Tuk,3,3300.0,9900.0,,
36,2023-01-06,2023,1,1,0,Tuk Tuk,1,3300.0,3300.0,,
37,2023-01-06,2023,1,1,0,Car,2,6050.0,12100.0,,
38,2023-01-07,2023,1,1,1,Tuk Tuk,2,3300.0,6600.0,,
39,2023-01-07,2023,1,1,1,Bike,4,1650.0,6600.0,,
40,2023-01-07,2023,1,1,1,Tuk Tuk,4,3300.0,13200.0,,
41,2023-01-07,2023,1,1,1,Car,2,6050.0,12100.0,,
42,2023-01-07,2023,1,1,1,Car,2,6050.0,12100.0,,
43,2023-01-07,2023,1,1,1,Bike,1,1650.0,1650.0,,
44,2023-01-07,2023,1,1,1,Tuk Tuk,1,3300.0,3300.0,,
45,2023-01-08,2023,1,1,1,Bike,1,1650.0,1650.0,,
46,2023-01-08,2023,1,1,1,Bike,2,1650.0,3300.0,,
47,2023-01-08,2023,1,1,1,Tuk Tuk,3,3300.0,9900.0,,
48,2023-01-08,2023,1,1,1,Tuk Tuk,3,3300.0,9900.0,,
49,2023-01-08,2023,1,1,1,Car,3,6050.0,18150.0,,
50,2023-01-08,2023,1,1,1,Car,1,6050.0,6050.0,,
51,2023-01-09,2023,1,1,0,Tuk Tuk,3,3300.0,9900.0,,
52,2023-01-09,2023,1,1,0,Bike,4,1650.0,6600.0,,
53,2023-01-09,2023,1,1,0,Bike,1,1650.0,1650.0,,
54,2023-01-09,2023,1,1,0,Bike,1,1650.0,1650.0,,
55,2023-01-10,2023,1,1,0,Bike,2,1650.0,3300.0,,
56,2023-01-10,2023,1,1,0,Car,1,6050.0,6050.0,,
57,2023-01-10,2023,1,1,0,Tuk Tuk,4,3300.0,13200.0,,
58,2023-01-10,2023,1,1,0,Tuk Tuk,2,3300.0,6600.0,,
59,2023-01-11,2023,1,1,0,Bike,4,1650.0,6600.0,,
60,2023-01-11,2023,1,1,0,Bike,2,1650.0,3300.0,,
61,2023-01-11,2023,1,1,0,Tuk Tuk,2,3300.0,6600.0,,
62,2023-01-11,2023,1,1,0,Bike,3,1650.0,4950.0,,
63,2023-01-11,2023,1,1,0,Car,3,6050.0,18150.0,,
64,2023-01-11,2023,1,1,0,Bike,1,1650.0,1650.0,,
65,2023-01-11,2023,1,1,0,Car,4,6050.0,24200.0,,
66,2023-01-12,2023,1,1,0,Tuk Tuk,3,3300.0,9900.0,,
67,2023-01-12,2023,1,1,0,Bike,3,1650.0,4950.0,,
68,2023-01-12,2023,1,1,0,Tuk Tuk,1,3300.0,3300.0,,
69,2023-01-12,2023,1,1,0,Tuk Tuk,3,3300.0,9900.0,,
70,2023-01-12,2023,1,1,0,Bike,3,1650.0,4950.0,,
71,2023-01-12,2023,1,1,0,Bike,2,1650.0,3300.0,,
72,2023-01-12,2023,1,1,0,Car,3,6050.0,18150.0,,
73,2023-01-12,2023,1,1,0,Car,1,6050.0,6050.0,,
74,2023-01-12,2023,1,1,0,Car,3,6050.0,18150.0,,
75,2023-01-13,2023,1,1,0,Tuk Tuk,3,3300.0,9900.0,,
76,2023-01-13,2023,1,1,0,Tuk Tuk,1,3300.0,3300.0,,
77,2023-01-13,2023,1,1,0,Car,1,6050.0,6050.0,,
78,2023-01-13,2023,1,1,0,Tuk Tuk,1,3300.0,3300.0,,
79,2023-01-13,2023,1,1,0,Bike,2,1650.0,3300.0,,
80,2023-01-13,2023,1,1,0,Bike,2,1650.0,3300.0,,
81,2023-01-13,2023,1,1,0,Bike,3,1650.0,4950.0,,
82,2023-01-14,2023,1,1,1,Car,1,6050.0,6050.0,,
83,2023-01-14,2023,1,1,1,Tuk Tuk,1,3300.0,3300.0,,
84,2023-01-14,2023,1,1,1,Car,4,6050.0,24200.0,,
85,2023-01-14,2023,1,1,1,Bike,3,1650.0,4950.0,,
86,2023-01-14,2023,1,1,1,Car,3,6050.0,18150.0,,
87,2023-01-15,2023,1,1,1,Car,3,6050.0,18150.0,,
88,2023-01-15,2023,1,1,1,Tuk Tuk,1,3300.0,3300.0,,
89,2023-01-15,2023,1,1,1,Bike,3,1650.0,4950.0,,
90,2023-01-15,2023,1,1,1,Car,3,6050.0,18150.0,,
91,2023-01-15,2023,1,1,1,Bike,2,1650.0,3300.0,,
92,2023-01-15,2023,1,1,1,Bike,3,1650.0,4950.0,,
93,2023-01-15,2023,1,1,1,Tuk Tuk,3,3300.0,9900.0,,
94,2023-01-15,2023,1,1,1,Tuk Tuk,1,3300.0,3300.0,,
95,2023-01-16,2023,1,1,0,Tuk Tuk,3,3300.0,9900.0,,
